Sender,Metabolite,Metabolite_Name,Receiver,Sensor,Commu_Score,metabolite_prop_in_sender,sensor_prop_in_receiver,Annotation,ztest_stat,ztest_pval,ttest_stat,ttest_pval,ranksum_test_stat,ranksum_test_pval,permutation_test_stat,permutation_test_pval,ztest_fdr,ttest_fdr,ranksum_test_fdr,permutation_test_fdr
Fibro,HMDB0002369,9-cis-Retinoic acid,Oligo,RXRG,0.322097711,0.441309255,0.047328244,Nuclear Receptor,-1578.908355,0,-49.90452016,7.07E-274,-1.730321351,0.041786439,0,0,0,5.57E-272,0.12528449,0
Myeloid,HMDB0000121,Folic acid,Myeloid,FOLR2,0.255223739,0.118666667,0.22,Transporter,-2040.479414,0,-64.49338603,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
Endo,HMDB0000277,Sphingosine 1-phosphate,T,S1PR5,0.043718574,0.202183199,0.0115,Receptor,-231.1592247,0,-7.306244312,2.81E-13,-1.730321351,0.041786439,0,0,0,2.03E-12,0.12528449,0
Oligo,HMDB0000122,D-Glucose,Endo,SLC2A8,0.101994099,0.508396947,0.079734219,Transporter,-743.2752169,0,-23.49268273,8.13E-98,-1.730321351,0.041786439,0,0,0,2.28E-96,0.12528449,0
Fibro,HMDB0001852,all-trans-Retinoic acid,Endo,RXRG,0.244556141,0.441309255,0.025628856,Nuclear Receptor,-2080.643405,0,-65.76284838,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
Fibro,HMDB0001852,all-trans-Retinoic acid,Oligo,RXRG,0.321130723,0.441309255,0.047328244,Nuclear Receptor,-1586.95629,0,-50.15889104,1.87E-275,-1.730321351,0.041786439,0,0,0,1.49E-273,0.12528449,0
Myeloid,HMDB0001852,all-trans-Retinoic acid,Epi,RXRG,0.028407503,0.360333333,0.011166667,Nuclear Receptor,-280.5272981,0,-8.866619875,1.70E-18,-1.730321351,0.041786439,0,0,0,1.54E-17,0.12528449,0
Mast,HMDB0001852,all-trans-Retinoic acid,Epi,RXRG,0.034669177,0.307890961,0.011166667,Nuclear Receptor,-370.5571338,0,-11.71219083,4.42E-30,-1.730321351,0.041786439,0,0,0,5.39E-29,0.12528449,0
Myeloid,HMDB0001852,all-trans-Retinoic acid,Fibro,RXRG,0.040719824,0.360333333,0.010383747,Nuclear Receptor,-405.0075329,0,-12.8010638,3.75E-35,-1.730321351,0.041786439,0,0,0,5.02E-34,0.12528449,0
Endo,HMDB0000121,Folic acid,Myeloid,FOLR2,0.212691398,0.061699098,0.22,Transporter,-1222.555683,0,-38.64128942,8.06E-201,-1.730321351,0.041786439,0,0,0,4.32E-199,0.12528449,0
Epi,HMDB0000121,Folic acid,B,FOLR2,0.058904984,0.164666667,0.0375,Transporter,-171.0501676,0,-5.406378725,4.02E-08,-1.730321351,0.041786439,0,0,0,2.14E-07,0.12528449,0
Mast,HMDB0000121,Folic acid,Myeloid,FOLR2,0.075953142,0.019512195,0.22,Transporter,-305.4432504,0,-9.654137809,1.91E-21,-1.730321351,0.041786439,0,0,0,1.88E-20,0.12528449,0
Epi,HMDB0000112,gamma-Aminobutyric acid,Endo,GABBR1,0.247941998,0.745333333,0.045562411,Receptor,-498.6544586,0,-15.76096003,1.89E-50,-1.730321351,0.041786439,0,0,0,3.14E-49,0.12528449,0
Fibro,HMDB0000112,gamma-Aminobutyric acid,Endo,GABBR1,0.295798835,0.774717833,0.045562411,Receptor,-628.3242186,0,-19.85942916,1.55E-74,-1.730321351,0.041786439,0,0,0,3.49E-73,0.12528449,0
Mast,HMDB0000112,gamma-Aminobutyric acid,Endo,GABBR1,0.317977681,0.827833572,0.045562411,Receptor,-689.9357217,0,-21.80678253,7.68E-87,-1.730321351,0.041786439,0,0,0,1.95E-85,0.12528449,0
Myeloid,HMDB0000112,gamma-Aminobutyric acid,Fibro,GABBR1,0.364250261,0.898666667,0.051241535,Receptor,-1196.205237,0,-37.80843148,3.34E-195,-1.730321351,0.041786439,0,0,0,1.74E-193,0.12528449,0
Myeloid,HMDB0000112,gamma-Aminobutyric acid,Endo,GABBR1,0.485955199,0.898666667,0.045562411,Receptor,-1156.104271,0,-36.54096119,1.31E-186,-1.730321351,0.041786439,0,0,0,6.48E-185,0.12528449,0
Myeloid,HMDB0002369,9-cis-Retinoic acid,Oligo,RXRG,0.193728228,0.360333333,0.047328244,Nuclear Receptor,-931.9922663,0,-29.45745818,4.40E-138,-1.730321351,0.041786439,0,0,0,1.61E-136,0.12528449,0
Fibro,HMDB0000122,D-Glucose,pDC,SLC2A8,0.043984641,0.439277652,0.113821138,Transporter,-765.7786558,0,-24.20394841,1.61E-102,-1.730321351,0.041786439,0,0,0,4.73E-101,0.12528449,0
Endo,HMDB0000122,D-Glucose,pDC,SLC2A8,0.029302194,0.35168486,0.113821138,Transporter,-424.2533261,0,-13.40936515,4.01E-38,-1.730321351,0.041786439,0,0,0,5.66E-37,0.12528449,0
Fibro,HMDB0000122,D-Glucose,Myeloid,SLC2A8,0.033162551,0.439277652,0.1275,Transporter,-756.8049908,0,-23.92031799,1.22E-100,-1.730321351,0.041786439,0,0,0,3.52E-99,0.12528449,0
Fibro,HMDB0000122,D-Glucose,Endo,SLC2A8,0.033529069,0.439277652,0.079734219,Transporter,-705.0748728,0,-22.28528533,6.27E-90,-1.730321351,0.041786439,0,0,0,1.64E-88,0.12528449,0
Fibro,HMDB0000122,D-Glucose,Oligo,SLC2A8,0.033781427,0.439277652,0.083969466,Transporter,-585.9953563,0,-18.52154179,2.28E-66,-1.730321351,0.041786439,0,0,0,4.74E-65,0.12528449,0
Oligo,HMDB0000122,D-Glucose,Oligo,SLC2A8,0.102761763,0.508396947,0.083969466,Transporter,-698.7680281,0,-22.08594504,1.22E-88,-1.730321351,0.041786439,0,0,0,3.17E-87,0.12528449,0
Oligo,HMDB0000122,D-Glucose,pDC,SLC2A8,0.133799534,0.508396947,0.113821138,Transporter,-907.4628779,0,-28.68215837,8.95E-133,-1.730321351,0.041786439,0,0,0,3.15E-131,0.12528449,0
Endo,HMDB0000122,D-Glucose,Oligo,SLC2A8,0.0225049,0.35168486,0.083969466,Transporter,-336.0730934,0,-10.62225455,2.40E-25,-1.730321351,0.041786439,0,0,0,2.64E-24,0.12528449,0
Oligo,HMDB0000122,D-Glucose,NK,SLC2A8,0.041128593,0.508396947,0.0215,Transporter,-328.2867181,0,-10.37615077,2.51E-24,-1.730321351,0.041786439,0,0,0,2.68E-23,0.12528449,0
Mast,HMDB0002369,9-cis-Retinoic acid,Oligo,RXRG,0.236117039,0.307890961,0.047328244,Nuclear Receptor,-1139.666121,0,-36.02140093,4.48E-183,-1.730321351,0.041786439,0,0,0,2.17E-181,0.12528449,0
Oligo,HMDB0000122,D-Glucose,Fibro,SLC2A8,0.077582947,0.508396947,0.083521445,Transporter,-567.9674867,0,-17.95173532,5.68E-63,-1.730321351,0.041786439,0,0,0,1.12E-61,0.12528449,0
Oligo,HMDB0000122,D-Glucose,Epi,SLC2A8,0.086666171,0.508396947,0.115833333,Transporter,-629.9470102,0,-19.9107207,7.47E-75,-1.730321351,0.041786439,0,0,0,1.69E-73,0.12528449,0
Endo,HMDB0000122,D-Glucose,Fibro,SLC2A8,0.016990721,0.35168486,0.083521445,Transporter,-305.3571837,0,-9.6514175,1.96E-21,-1.730321351,0.041786439,0,0,0,1.93E-20,0.12528449,0
Oligo,HMDB0000121,Folic acid,B,FOLR2,0.084174538,0.161832061,0.0375,Transporter,-193.0596298,0,-6.10203129,7.48E-10,-1.730321351,0.041786439,0,0,0,4.49E-09,0.12528449,0
Epi,HMDB0002369,9-cis-Retinoic acid,Endo,RXRG,0.05862735,0.162166667,0.025628856,Nuclear Receptor,-424.5047766,0,-13.41731274,3.67E-38,-1.730321351,0.041786439,0,0,0,5.17E-37,0.12528449,0
T,HMDB0000121,Folic acid,Myeloid,FOLR2,0.143281014,0.036166667,0.22,Transporter,-997.2869163,0,-31.52122469,2.99E-152,-1.730321351,0.041786439,0,0,0,1.19E-150,0.12528449,0
B,HMDB0000121,Folic acid,Myeloid,FOLR2,0.186028436,0.044166667,0.22,Transporter,-1448.127071,0,-45.77091911,9.02E-248,-1.730321351,0.041786439,0,0,0,6.22E-246,0.12528449,0
Epi,HMDB0000285,Uridine triphosphate,B,P2RY11,0.015880336,0.570666667,0.0115,Receptor,-683.1942543,0,-21.59370512,1.79E-85,-1.730321351,0.041786439,0,0,0,4.46E-84,0.12528449,0
Oligo,HMDB0000122,D-Glucose,Myeloid,SLC2A8,0.100879166,0.508396947,0.1275,Transporter,-722.6437175,0,-22.8405834,1.53E-93,-1.730321351,0.041786439,0,0,0,4.14E-92,0.12528449,0
Endo,HMDB0000122,D-Glucose,B,SLC2A8,0.003524273,0.35168486,0.0105,Transporter,-145.4933033,0,-4.598603499,2.40E-06,-1.730321351,0.041786439,0,0,0,1.11E-05,0.12528449,0
Fibro,HMDB0000122,D-Glucose,T,SLC2A8,0.004785711,0.439277652,0.012166667,Transporter,-230.1173094,0,-7.273312521,3.54E-13,-1.730321351,0.041786439,0,0,0,2.54E-12,0.12528449,0
Fibro,HMDB0000122,D-Glucose,B,SLC2A8,0.00529018,0.439277652,0.0105,Transporter,-242.6000805,0,-7.667855181,2.07E-14,-1.730321351,0.041786439,0,0,0,1.59E-13,0.12528449,0
Endo,HMDB0000122,D-Glucose,Mast,SLC2A8,0.007871536,0.35168486,0.021233859,Transporter,-194.274241,0,-6.140421479,5.93E-10,-1.730321351,0.041786439,0,0,0,3.58E-09,0.12528449,0
Endo,HMDB0000122,D-Glucose,NK,SLC2A8,0.009007191,0.35168486,0.0215,Transporter,-213.3055332,0,-6.741943096,1.32E-11,-1.730321351,0.041786439,0,0,0,8.69E-11,0.12528449,0
Epi,HMDB0000285,Uridine triphosphate,Myeloid,P2RY11,0.061170113,0.570666667,0.081333333,Receptor,-2041.170981,0,-64.51524438,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
Fibro,HMDB0000285,Uridine triphosphate,T,P2RY11,0.017100453,0.558465011,0.014833333,Receptor,-641.9795836,0,-20.29103397,3.19E-77,-1.730321351,0.041786439,0,0,0,7.38E-76,0.12528449,0
Endo,HMDB0002369,9-cis-Retinoic acid,Fibro,RXRG,0.0273501,0.2078785,0.010383747,Nuclear Receptor,-221.2725028,0,-6.993754921,2.45E-12,-1.730321351,0.041786439,0,0,0,1.67E-11,0.12528449,0
Epi,HMDB0000121,Folic acid,Epi,FOLR1,0.6130862,0.164666667,0.3875,Transporter,-3642.971825,0,-115.1433269,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
Oligo,HMDB0000121,Folic acid,Epi,FOLR1,0.876093063,0.161832061,0.3875,Transporter,-2385.065778,0,-75.38471933,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
Mast,HMDB0000121,Folic acid,Epi,FOLR1,0.128987841,0.019512195,0.3875,Transporter,-378.1360957,0,-11.9517389,3.61E-31,-1.730321351,0.041786439,0,0,0,4.50E-30,0.12528449,0
NK,HMDB0000121,Folic acid,Epi,FOLR1,0.214058967,0.027,0.3875,Transporter,-1044.645875,0,-33.01809821,1.57E-162,-1.730321351,0.041786439,0,0,0,6.73E-161,0.12528449,0
T,HMDB0000121,Folic acid,Epi,FOLR1,0.243327769,0.036166667,0.3875,Transporter,-1252.461519,0,-39.58652251,3.62E-207,-1.730321351,0.041786439,0,0,0,1.99E-205,0.12528449,0
B,HMDB0000121,Folic acid,Epi,FOLR1,0.315923814,0.044166667,0.3875,Transporter,-1829.77441,0,-57.83363782,2.124e-321,-1.730321351,0.041786439,0,0,0,2.1637e-319,0.12528449,0
pDC,HMDB0000121,Folic acid,Epi,FOLR1,0.501386236,0.089430894,0.3875,Transporter,-1451.229231,0,-45.86896901,2.12E-248,-1.730321351,0.041786439,0,0,0,1.46E-246,0.12528449,0
Mast,HMDB0000112,gamma-Aminobutyric acid,Fibro,GABBR1,0.238341834,0.827833572,0.051241535,Receptor,-679.2895454,0,-21.47028908,1.10E-84,-1.730321351,0.041786439,0,0,0,2.73E-83,0.12528449,0
Fibro,HMDB0002369,9-cis-Retinoic acid,Endo,RXRG,0.245292548,0.441309255,0.025628856,Nuclear Receptor,-2070.467716,0,-65.44122562,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
Myeloid,HMDB0002369,9-cis-Retinoic acid,Epi,RXRG,0.028451573,0.360333333,0.011166667,Nuclear Receptor,-277.7469527,0,-8.778741562,3.53E-18,-1.730321351,0.041786439,0,0,0,3.14E-17,0.12528449,0
Mast,HMDB0002369,9-cis-Retinoic acid,Epi,RXRG,0.034676935,0.307890961,0.011166667,Nuclear Receptor,-366.6493293,0,-11.58867694,1.58E-29,-1.730321351,0.041786439,0,0,0,1.91E-28,0.12528449,0
Myeloid,HMDB0002369,9-cis-Retinoic acid,Fibro,RXRG,0.040782995,0.360333333,0.010383747,Nuclear Receptor,-401.6231497,0,-12.69409368,1.22E-34,-1.730321351,0.041786439,0,0,0,1.62E-33,0.12528449,0
Fibro,HMDB0002369,9-cis-Retinoic acid,Epi,RXRG,0.047304343,0.441309255,0.011166667,Nuclear Receptor,-569.8754307,0,-18.01203967,2.50E-63,-1.730321351,0.041786439,0,0,0,4.94E-62,0.12528449,0
Endo,HMDB0006219,13-cis-Retinoic acid,Fibro,RXRG,0.0273501,0.2078785,0.010383747,Nuclear Receptor,-221.2725028,0,-6.993754921,2.45E-12,-1.730321351,0.041786439,0,0,0,1.67E-11,0.12528449,0
Mast,HMDB0002369,9-cis-Retinoic acid,Fibro,RXRG,0.049706541,0.307890961,0.010383747,Nuclear Receptor,-523.6960109,0,-16.5524478,7.19E-55,-1.730321351,0.041786439,0,0,0,1.27E-53,0.12528449,0
Endo,HMDB0006219,13-cis-Retinoic acid,Oligo,RXRG,0.129919011,0.2078785,0.047328244,Nuclear Receptor,-603.8283583,0,-19.08518907,8.91E-70,-1.730321351,0.041786439,0,0,0,1.90E-68,0.12528449,0
Fibro,HMDB0000122,D-Glucose,Epi,SLC2A8,0.028490237,0.439277652,0.115833333,Transporter,-651.5603303,0,-20.59385241,4.02E-79,-1.730321351,0.041786439,0,0,0,9.47E-78,0.12528449,0
Epi,HMDB0000285,Uridine triphosphate,T,P2RY11,0.02154262,0.570666667,0.014833333,Receptor,-840.794412,0,-26.5749697,1.99E-118,-1.730321351,0.041786439,0,0,0,6.41E-117,0.12528449,0
Fibro,HMDB0000285,Uridine triphosphate,NK,P2RY11,0.035802882,0.558465011,0.027,Receptor,-1121.892441,0,-35.45962865,3.02E-179,-1.730321351,0.041786439,0,0,0,1.44E-177,0.12528449,0
Mast,HMDB0006219,13-cis-Retinoic acid,Endo,RXRG,0.179814225,0.307890961,0.025628856,Nuclear Receptor,-1495.228984,0,-47.25966819,2.83E-257,-1.730321351,0.041786439,0,0,0,2.06E-255,0.12528449,0
Myeloid,HMDB0006219,13-cis-Retinoic acid,Oligo,RXRG,0.193728228,0.360333333,0.047328244,Nuclear Receptor,-931.9922663,0,-29.45745818,4.40E-138,-1.730321351,0.041786439,0,0,0,1.61E-136,0.12528449,0
Mast,HMDB0006219,13-cis-Retinoic acid,Oligo,RXRG,0.236117039,0.307890961,0.047328244,Nuclear Receptor,-1139.666121,0,-36.02140093,4.48E-183,-1.730321351,0.041786439,0,0,0,2.17E-181,0.12528449,0
Fibro,HMDB0006219,13-cis-Retinoic acid,Endo,RXRG,0.245292548,0.441309255,0.025628856,Nuclear Receptor,-2070.467716,0,-65.44122562,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
Fibro,HMDB0006219,13-cis-Retinoic acid,Oligo,RXRG,0.322097711,0.441309255,0.047328244,Nuclear Receptor,-1578.908355,0,-49.90452016,7.07E-274,-1.730321351,0.041786439,0,0,0,5.57E-272,0.12528449,0
Oligo,HMDB0000050,Adenosine,Myeloid,ADORA1,0.005122834,0.380152672,0.019166667,Receptor,-180.7464725,0,-5.71284961,7.33E-09,-1.730321351,0.041786439,0,0,0,4.11E-08,0.12528449,0
Myeloid,HMDB0000067,Cholesterol,T,LDLR,0.308630256,0.565,0.039,Receptor,-501.5826564,0,-15.85351152,5.84E-51,-1.730321351,0.041786439,0,0,0,9.76E-50,0.12528449,0
B,HMDB0000067,Cholesterol,Epi,LDLR,0.320853122,0.087833333,0.3045,Receptor,-548.4902988,0,-17.33612029,2.30E-59,-1.730321351,0.041786439,0,0,0,4.32E-58,0.12528449,0
Endo,HMDB0000067,Cholesterol,Myeloid,LDLR,0.232295264,0.257712387,0.0985,Receptor,-174.7752214,0,-5.524116412,2.11E-08,-1.730321351,0.041786439,0,0,0,1.15E-07,0.12528449,0
Myeloid,HMDB0000517,L-Arginine,Endo,AVPR2,0.120009876,0.255666667,0.067869008,Receptor,-2849.213607,0,-90.05502913,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
Epi,HMDB0000517,L-Arginine,Endo,AVPR2,0.161462409,0.332166667,0.067869008,Receptor,-3887.6305,0,-122.876248,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
B,HMDB0000517,L-Arginine,Endo,AVPR2,0.020431656,0.047666667,0.067869008,Receptor,-421.1912434,0,-13.31258197,1.21E-37,-1.730321351,0.041786439,0,0,0,1.69E-36,0.12528449,0
pDC,HMDB0000517,L-Arginine,Endo,AVPR2,0.021982761,0.069686411,0.067869008,Receptor,-412.7224466,0,-13.0449089,2.48E-36,-1.730321351,0.041786439,0,0,0,3.39E-35,0.12528449,0
Mast,HMDB0000050,Adenosine,Oligo,ADORA1,0.00503172,0.246771879,0.236641221,Receptor,-133.9481978,0,-4.233697614,1.26E-05,-1.730321351,0.041786439,0,0,0,5.36E-05,0.12528449,0
T,HMDB0000067,Cholesterol,Epi,LDLR,0.306759231,0.095833333,0.3045,Receptor,-487.7101703,0,-15.41504417,1.47E-48,-1.730321351,0.041786439,0,0,0,2.39E-47,0.12528449,0
NK,HMDB0000517,L-Arginine,Endo,AVPR2,0.037896033,0.053666667,0.067869008,Receptor,-838.9521239,0,-26.51674054,4.94E-118,-1.730321351,0.041786439,0,0,0,1.58E-116,0.12528449,0
pDC,HMDB0000067,Cholesterol,Epi,LDLR,0.269479881,0.137049942,0.3045,Receptor,-177.9017759,0,-5.62293735,1.22E-08,-1.730321351,0.041786439,0,0,0,6.75E-08,0.12528449,0
Endo,HMDB0000067,Cholesterol,Fibro,LDLR,0.239275005,0.257712387,0.102257336,Receptor,-180.2042972,0,-5.695713089,8.08E-09,-1.730321351,0.041786439,0,0,0,4.52E-08,0.12528449,0
Mast,HMDB0000067,Cholesterol,Endo,LDLR,0.240490982,0.101865136,0.149501661,Receptor,-175.8909476,0,-5.559381146,1.74E-08,-1.730321351,0.041786439,0,0,0,9.53E-08,0.12528449,0
Oligo,HMDB0000067,Cholesterol,Myeloid,LDLR,0.260359596,0.396946565,0.0985,Receptor,-146.7937606,0,-4.639707023,1.98E-06,-1.730321351,0.041786439,0,0,0,9.19E-06,0.12528449,0
Oligo,HMDB0000067,Cholesterol,Fibro,LDLR,0.268182582,0.396946565,0.102257336,Receptor,-154.2915799,0,-4.876690428,6.27E-07,-1.730321351,0.041786439,0,0,0,3.03E-06,0.12528449,0
Endo,HMDB0000277,Sphingosine 1-phosphate,Endo,S1PR5,0.037466376,0.202183199,0.012814428,Receptor,-207.8420305,0,-6.569258291,4.06E-11,-1.730321351,0.041786439,0,0,0,2.62E-10,0.12528449,0
Fibro,HMDB0000517,L-Arginine,Endo,AVPR2,0.024821338,0.133634312,0.067869008,Receptor,-517.5686914,0,-16.35878176,8.91E-54,-1.730321351,0.041786439,0,0,0,1.55E-52,0.12528449,0
Oligo,HMDB0000067,Cholesterol,Endo,LDLR,0.577156663,0.396946565,0.149501661,Receptor,-533.9795952,0,-16.87748082,1.02E-56,-1.730321351,0.041786439,0,0,0,1.84E-55,0.12528449,0
Endo,HMDB0000067,Cholesterol,Epi,LDLR,0.766525767,0.257712387,0.3045,Receptor,-1413.497415,0,-44.67638037,1.03E-240,-1.730321351,0.041786439,0,0,0,6.82E-239,0.12528449,0
Oligo,HMDB0000067,Cholesterol,Epi,LDLR,0.859132191,0.396946565,0.3045,Receptor,-993.7545183,0,-31.40957627,1.75E-151,-1.730321351,0.041786439,0,0,0,6.93E-150,0.12528449,0
Myeloid,HMDB0000067,Cholesterol,Endo,LDLR,1.137771609,0.565,0.149501661,Receptor,-2276.632668,0,-71.95747651,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
Myeloid,HMDB0000067,Cholesterol,Epi,LDLR,1.693641048,0.565,0.3045,Receptor,-5216.760174,0,-164.8860192,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
B,HMDB0000277,Sphingosine 1-phosphate,Endo,S1PR5,0.000148859,0.0415,0.012814428,Receptor,-146.3304215,0,-4.625062275,2.12E-06,-1.730321351,0.041786439,0,0,0,9.82E-06,0.12528449,0
Myeloid,HMDB0000067,Cholesterol,Myeloid,LDLR,0.513257102,0.565,0.0985,Receptor,-1245.696723,0,-39.37270775,9.82E-206,-1.730321351,0.041786439,0,0,0,5.36E-204,0.12528449,0
Endo,HMDB0000067,Cholesterol,Endo,LDLR,0.514944567,0.257712387,0.149501661,Receptor,-717.8473001,0,-22.68898315,1.49E-92,-1.730321351,0.041786439,0,0,0,3.99E-91,0.12528449,0
Fibro,HMDB0000277,Sphingosine 1-phosphate,Oligo,S1PR5,0.080459742,0.155079007,0.245801527,Receptor,-387.2793027,0,-12.24072804,1.68E-32,-1.730321351,0.041786439,0,0,0,2.14E-31,0.12528449,0
Oligo,HMDB0000067,Cholesterol,Oligo,SCARB1,0.208906717,0.396946565,0.064122137,Receptor,-333.5610524,0,-10.54285653,5.15E-25,-1.730321351,0.041786439,0,0,0,5.61E-24,0.12528449,0
NK,HMDB0000067,Cholesterol,Epi,LDLR,0.35088403,0.0935,0.3045,Receptor,-652.2101769,0,-20.6143921,2.98E-79,-1.730321351,0.041786439,0,0,0,7.05E-78,0.12528449,0
Mast,HMDB0000067,Cholesterol,Epi,LDLR,0.357985202,0.101865136,0.3045,Receptor,-578.9910727,0,-18.30015756,4.84E-65,-1.730321351,0.041786439,0,0,0,9.82E-64,0.12528449,0
Myeloid,HMDB0000067,Cholesterol,NK,LDLR,0.361218212,0.565,0.037833333,Receptor,-648.3058551,0,-20.49098829,1.78E-78,-1.730321351,0.041786439,0,0,0,4.17E-77,0.12528449,0
Myeloid,HMDB0000067,Cholesterol,Oligo,LDLR,0.433367641,0.565,0.064122137,Receptor,-377.6079375,0,-11.93504542,4.31E-31,-1.730321351,0.041786439,0,0,0,5.36E-30,0.12528449,0
Myeloid,HMDB0000067,Cholesterol,Mast,LDLR,0.470668085,0.565,0.055380201,Receptor,-894.0642844,0,-28.25866933,7.02E-130,-1.730321351,0.041786439,0,0,0,2.42E-128,0.12528449,0
NK,HMDB0000067,Cholesterol,Endo,LDLR,0.235720484,0.0935,0.149501661,Receptor,-182.7919228,0,-5.777500112,5.06E-09,-1.730321351,0.041786439,0,0,0,2.87E-08,0.12528449,0
Oligo,HMDB0000050,Adenosine,Mast,ADORA3,0.018330208,0.380152672,0.027546628,Receptor,-268.2980741,0,-8.480091075,4.01E-17,-1.730321351,0.041786439,0,0,0,3.40E-16,0.12528449,0
Epi,HMDB0002369,9-cis-Retinoic acid,Oligo,RXRG,0.076984545,0.162166667,0.047328244,Nuclear Receptor,-336.6498966,0,-10.64048556,2.01E-25,-1.730321351,0.041786439,0,0,0,2.22E-24,0.12528449,0
Endo,HMDB0002369,9-cis-Retinoic acid,Endo,RXRG,0.098939434,0.2078785,0.025628856,Nuclear Receptor,-761.0757797,0,-24.05530471,1.56E-101,-1.730321351,0.041786439,0,0,0,4.53E-100,0.12528449,0
Endo,HMDB0002369,9-cis-Retinoic acid,Oligo,RXRG,0.129919011,0.2078785,0.047328244,Nuclear Receptor,-603.8283583,0,-19.08518907,8.91E-70,-1.730321351,0.041786439,0,0,0,1.90E-68,0.12528449,0
Myeloid,HMDB0002369,9-cis-Retinoic acid,Endo,RXRG,0.147533153,0.360333333,0.025628856,Nuclear Receptor,-1204.826268,0,-38.08091621,4.83E-197,-1.730321351,0.041786439,0,0,0,2.52E-195,0.12528449,0
Mast,HMDB0002369,9-cis-Retinoic acid,Endo,RXRG,0.179814225,0.307890961,0.025628856,Nuclear Receptor,-1495.228984,0,-47.25966819,2.83E-257,-1.730321351,0.041786439,0,0,0,2.06E-255,0.12528449,0
Myeloid,HMDB0000067,Cholesterol,Fibro,LDLR,0.528678862,0.565,0.102257336,Receptor,-1124.299833,0,-35.53571903,9.15E-180,-1.730321351,0.041786439,0,0,0,4.36E-178,0.12528449,0
Endo,HMDB0000517,L-Arginine,Endo,AVPR2,0.087141502,0.181775036,0.067869008,Receptor,-1998.522528,0,-63.1672557,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
Mast,HMDB0000517,L-Arginine,Endo,AVPR2,0.104087361,0.123672884,0.067869008,Receptor,-2462.509645,0,-77.83248588,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
Fibro,HMDB0002369,9-cis-Retinoic acid,Fibro,RXRG,0.067806894,0.441309255,0.010383747,Nuclear Receptor,-754.6835995,0,-23.85326722,3.40E-100,-1.730321351,0.041786439,0,0,0,9.70E-99,0.12528449,0
Oligo,HMDB0000050,Adenosine,Myeloid,ADORA3,0.042254662,0.380152672,0.086333333,Receptor,-515.9578363,0,-16.3078675,1.72E-53,-1.730321351,0.041786439,0,0,0,2.98E-52,0.12528449,0
Fibro,HMDB0000050,Adenosine,Mast,ADORA3,0.053409453,0.533408578,0.027546628,Receptor,-995.7622216,0,-31.4730337,6.41E-152,-1.730321351,0.041786439,0,0,0,2.55E-150,0.12528449,0
Epi,HMDB0000050,Adenosine,Mast,ADORA3,0.062127279,0.573166667,0.027546628,Receptor,-1201.307493,0,-37.96969838,2.72E-196,-1.730321351,0.041786439,0,0,0,1.42E-194,0.12528449,0
Fibro,HMDB0000050,Adenosine,Myeloid,ADORA3,0.123119082,0.533408578,0.086333333,Receptor,-2532.553801,0,-80.04636989,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
Endo,HMDB0000122,D-Glucose,Epi,SLC2A8,0.018979954,0.35168486,0.115833333,Transporter,-329.6310241,0,-10.41864022,1.68E-24,-1.730321351,0.041786439,0,0,0,1.80E-23,0.12528449,0
Endo,HMDB0000122,D-Glucose,Myeloid,SLC2A8,0.02209261,0.35168486,0.1275,Transporter,-372.5173402,0,-11.77414703,2.32E-30,-1.730321351,0.041786439,0,0,0,2.85E-29,0.12528449,0
Fibro,HMDB0000122,D-Glucose,Fibro,SLC2A8,0.02550426,0.439277652,0.083521445,Transporter,-584.9762252,0,-18.48933013,3.57E-66,-1.730321351,0.041786439,0,0,0,7.37E-65,0.12528449,0
B,HMDB0000277,Sphingosine 1-phosphate,NK,S1PR5,0.003576787,0.0415,0.223166667,Receptor,-182.777306,0,-5.777038118,5.07E-09,-1.730321351,0.041786439,0,0,0,2.88E-08,0.12528449,0
pDC,HMDB0000277,Sphingosine 1-phosphate,Oligo,S1PR5,0.393248329,0.174216028,0.245801527,Receptor,-781.2836913,0,-24.69401571,8.85E-106,-1.730321351,0.041786439,0,0,0,2.63E-104,0.12528449,0
pDC,HMDB0000277,Sphingosine 1-phosphate,NK,S1PR5,0.521114792,0.174216028,0.223166667,Receptor,-1100.607811,0,-34.78688584,1.19E-174,-1.730321351,0.041786439,0,0,0,5.52E-173,0.12528449,0
Endo,HMDB0000277,Sphingosine 1-phosphate,Oligo,S1PR5,0.679348951,0.202183199,0.245801527,Receptor,-1916.155373,0,-60.56387891,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
